Bag;DayPostInnoculum;NeukHighSSC (cells/mL);NeuksLowSSC (cells/mL);Peuks (cells/mL);Syn (cells/mL);Het. Bacteria (cells/mL);EhV;MPV;MOI;Ciliates (cells/mL);Thraustochytrids ddPCR;% infected Ehux;Nitrate (umolN/L);Chlorophyll (ug/L);DMS (pmol/mL);DMS std;DMSPd;DMSPt;DMSPt std;DMSPp;DMSPd std;PON (nmol/mL);
4;22.5;4875;8733;3482;34625;5892512;2290000;5453622;3525;;;;0.044;7.06;7.21;0.63;39.20;351.59;1.48;312.39;1.48;7.96;
4;23;5828;10525;3723;38018;4630225;7640000;4020985;3312;48.1;175250;5.28;0.081;5.76;8.39;0.15;62.12;314.39;2.84;252.27;2.84;7.76;
4;23.5;2949;8798;3520;43643;2317544;826000;1488107;2418;;;;0.077;5.68;8.20;0.40;76.15;494.30;102.28;418.15;102.28;8.64;
4;24;1444;8325;3379;45585;1700295;;1750304;7658;;;;;;;;;;;;;;
5;0;154;1279;18682;2405;;53;;0;;;;0.046;1.5;4.40;0.25;11.44;54.38;0.67;42.94;0.67;1.81;
5;1;159;1142;14130;2112;;50;;0;;;;1.192;1.9;4.15;0.01;6.92;56.83;1.45;49.91;1.45;1.81;
5;1.5;47;1391;17049;2413;;;;0;;;;;;;;;;;;;;
5;2;60;2104;21216;3266;;46;;0;;345;;2.383;2.52;7.12;0.20;;66.40;1.96;66.40;1.96;2.16;
5;2.5;64;2071;25430;7408;;;;0;;;;;;;;;;;;;;
5;3;221;3604;46479;7931;;;;0;;;;3.326;3.26;11.92;0.43;3.95;88.50;0.12;84.54;0.12;3.04;
5;3.5;171;3459;67948;5020;;;;0;;;;;;;;;;;;;;
5;4;429;4577;77211;5209;;;;0;;;;3.955;4.3;11.03;0.13;3.09;107.44;3.80;104.35;3.80;3.01;
5;4.5;93;9483;133980;6072;;;;0;;;;;;;;;;;;;;
5;5;216;7539;148892;5892;;29;;0;;;;3.979;6.55;11.03;0.56;4.87;144.54;1.18;139.67;1.18;3.36;
5;6;311;7001;181459;7934;1852641;;2253938;5008;36.73;;;2.695;8.33;12.85;0.40;13.46;173.08;0.24;159.62;0.24;4.68;
5;6.5;193;4735;171270;13467;1668244;;2730382;6917;;;;;;;;;;;;;;
5;7;392;4389;144253;5519;2027533;10;3426197;4221;58.05;;;1.565;9.86;22.48;0.04;29.29;189.91;26.24;160.62;26.24;6.08;
5;7.5;358;2526;133977;15175;2120491;;3837002;4298;;;;;;;;;;;;;;
5;8;595;6267;135482;8211;2168921;;4532938;2909;;1733.33;;1.001;12.56;23.04;0.38;20.64;197.41;7.88;176.77;7.88;6.20;
5;8.5;803;5903;111286;11240;3254188;;5691169;3237;;;;;;;;;;;;;;
5;9;1788;14744;121714;12577;3279879;;8371167;1724;58.96;;;0.004;12.86;22.43;0.22;19.29;311.76;20.30;292.48;20.30;8.78;
5;9.5;1507;8229;124694;18595;;;;0;;;;;;;;;;;;;;
5;10;5387;9539;123233;18270;4254032;24;9429757;867;30.29;;;0.022;11.21;25.00;0.25;34.93;328.06;6.30;293.13;6.30;6.90;
5;10.5;4663;5818;101848;24700;6883646;;14726682;2451;;;;;;;;;;;;;;
5;11;9749;5426;101547;25191;7674344;42;19232749;1507;69.87;;;0.033;9.53;30.79;1.31;4.61;313.61;12.74;309.01;12.74;6.67;
5;11.25;5331;7093;89195;29023;7915966;;17037215;2672;;;;;;;;;;;;;;
5;11.5;7656;3957;87778;33854;7409448;;15298240;1605;;;;;;;;;;;;;;
5;12;4573;2321;85080;30355;7860103;;16957445;2806;47.11;;;0.033;9.8;37.96;0.07;0.74;314.07;2.66;313.32;2.66;7.22;
5;12.5;5507;1889;79302;31920;6130341;;19913379;2962;;;;;;;;;;;;;;
5;13;8216;2268;73209;27421;2116761;84;8304217;836;106.11;;;0.056;9.33;38.38;0.12;;82.52;2.01;82.52;2.01;5.97;
5;13.5;4921;3754;82400;26891;4257058;;17358272;3117;;;;;;;;;;;;;;
5;14;6978;3046;68950;17551;NA;70;;0;72.68;9510;;0.296;9.86;39.19;1.77;20.62;56.14;6.17;35.51;6.17;6.90;
5;14.25;2432;1785;50663;14842;;;;0;;;;;;;;;;;;;;
5;14.5;4800;2855;60758;14139;2871593;;12549472;2413;;;;;;;;;;;;;;
5;15;7232;3649;48284;10079;2055491;15;9402347;1240;83.07;;;0.037;14.48;36.90;1.44;25.57;301.87;33.73;276.30;33.73;8.22;
5;15.5;14013;5195;49462;10873;2280978;;11573395;835;;;;;;;;;;;;;;
5;16;19857;3413;26604;7365;1557915;2840;9306917;481;100.02;29800;;0.088;18.75;35.21;2.62;57.73;492.21;18.92;434.48;18.92;8.93;
5;16.5;14298;3292;13183;2633;1344606;;6869716;483;;;;;;;;;;;;;;
5;17;42256;5358;11276;5865;1176312;8270;7431044;189;79.42;;;0.085;23.03;50.97;0.64;63.13;375.70;3.15;312.58;3.15;8.85;
5;17.5;49234;8708;8236;5763;1390688;;9113096;270;;;;;;;;;;;;;;
5;18;43647;12601;7314;4828;1955704;366000;7572085;314;108.1;14260;;0.074;21.18;72.64;2.39;22.36;349.89;4.35;327.54;4.35;9.89;
5;18.5;19410;6018;4616;5260;1963821;;7806593;765;;;;;;;;;;;;;;
5;19;16363;6348;5544;5255;2124253;618000;9007804;812;61.44;;;0.034;18.01;71.47;5.73;38.72;479.00;6.39;440.28;6.39;8.32;
5;19.5;9697;7617;3486;4769;2023810;400000;3966450;902;;;;0.041;;79.44;1.02;;466.19;8.42;466.19;8.42;7.55;
5;20;23300;8914;6025;5048;2564923;851000;8413601;656;347.27;132800;;0.079;13.84;96.22;4.47;26.46;432.95;28.95;406.49;28.95;6.80;
5;20.5;28959;9410;5490;4480;2655985;;6705140;466;;;;;;;;;;;;;;
5;21;16341;10382;8144;4650;2151993;1350000;5229749;876;436.7;;;0.031;10.6;61.57;2.43;9.41;301.56;0.68;292.15;0.68;6.71;
5;21.25;4212;6257;5565;11254;;;;0;;;;;;;;;;;;;;
5;21.5;6387;5334;5424;4904;3606635;;5617558;2312;;;;;;;;;;;;;;
5;22;10416;5733;7252;4514;2549909;740000;3906070;945;253.51;;;0.042;9.93;28.60;0.01;66.08;319.59;5.12;253.50;5.12;7.80;
5;22.5;13963;6563;6566;5145;2794287;1100000;3314154;571;;;;0.071;9.79;23.29;1.26;22.31;351.73;0.14;329.43;0.14;7.37;
5;23;14083;7313;7167;4879;2754393;2110000;3261136;552;119.54;68250;;0.083;8.48;25.00;0.61;43.07;324.23;2.94;281.16;2.94;6.59;
5;23.5;5531;4801;4035;5183;;296000;;0;;;;0.045;7.9;21.93;0.31;18.60;379.58;18.14;360.98;18.14;7.76;
5;24;5107;6104;4664;5369;2222071;;3125551;2328;;;;;;;;;;;;;;
6;0;165;1552;19272;2254;;56;;0;;;;0.043;1.75;4.21;0.15;9.09;51.21;0.55;42.12;0.55;1.63;
6;1;193;1280;16348;2997;;33;;0;;;;1.336;2.09;4.22;0.02;7.06;58.74;0.22;51.67;0.22;1.63;
6;1.5;57;1290;15594;3066;;;;0;;;;;;;;;;;;;;
6;2;277;1896;22480;3652;;;;0;;450;;2.367;2.8;6.40;0.12;5.34;71.44;0.12;66.10;0.12;1.89;
6;2.5;104;2865;33150;7684;;;;0;;;;;;;;;;;;;;
6;3;410;3504;43877;7028;;;;0;;;;3.587;3.51;9.86;0.31;3.85;77.75;1.64;73.90;1.64;2.72;
6;3.5;157;3953;65109;7540;;;;0;;;;;;;;;;;;;;
6;4;229;6382;84684;5870;;;;0;;;;4.075;4.86;9.88;0.85;4.53;95.96;0.82;91.43;0.82;3.01;
6;4.5;177;7423;99570;5560;;;;0;;;;;;;;;;;;;;
6;5;216;8809;126684;5515;;;;0;;;;4.141;7.05;10.83;0.68;8.17;146.58;3.07;138.41;3.07;3.60;
6;6;345;12286;155270;5345;1466720;;1791932;3957;44.56;;;2.853;9.85;12.32;0.13;14.35;197.54;0.80;183.19;0.80;4.71;
6;6.5;746;9591;159810;5848;1458044;;2550764;1727;;;;;;;;;;;;;;
6;7;326;10260;128939;4586;1512236;18;2644579;4307;53.98;;;1.477;11.95;20.26;0.64;18.02;275.32;9.00;257.30;9.00;5.79;
6;7.5;475;4879;112870;7335;1719849;;3591137;3530;;;;;;;;;;;;;;
6;8;548;8485;113575;6088;2654098;15;5815417;4001;75.03;3083.33;;0.817;11.98;30.92;1.08;33.89;255.23;6.42;221.34;6.42;6.55;
6;8.5;944;7668;87577;8105;2435916;;5058332;2340;;;;;;;;;;;;;;
6;9;1345;10893;86238;7347;2853455;;6484374;2046;80.33;;;0.029;10.54;29.41;1.06;21.11;377.08;1.73;355.97;1.73;7.14;
6;9.5;1380;6552;75519;10367;;;;0;;;;;;;;;;;;;;
6;10;6428;11321;83515;10689;3165206;172;7076123;661;32.31;;;0.028;9.16;35.61;1.18;18.35;328.09;2.05;309.74;2.05;7.37;
6;10.5;4194;4487;63746;15142;7344702;;14260009;3019;;;;;;;;;;;;;;
6;11;10383;3255;70493;15288;6445176;48;16755645;1375;42.29;;;0.017;8.35;56.12;5.01;;262.53;10.01;262.53;10.01;6.78;
6;11.25;8825;4704;65725;17146;8458487;;16748603;2024;;;;;;;;;;;;;;
6;11.5;10452;3244;65591;19801;6927639;;13696067;1131;;;;;;;;;;;;;;
6;12;5314;2002;63915;17433;6801554;23;15475764;2840;40.47;;;0.049;8.15;40.98;0.76;8.99;258.37;6.22;249.38;6.22;7.45;
6;12.5;6474;2654;69086;18155;6195487;;18919376;3212;;;;;;;;;;;;;;
6;13;9143;2902;63030;16202;7715763;17;19918191;2366;70.15;;;0.03;8.85;44.06;1.31;0.61;75.84;0.89;75.24;0.89;7.03;
6;13.5;2503;3325;68364;17084;5243670;;15520113;6911;;;;;;;;;;;;;;
6;14;8211;5178;68606;14642;3412601;;14297207;1825;91.42;6900;;0.234;10.02;35.85;0.44;17.29;96.15;6.72;78.87;6.72;6.96;
6;14.25;2370;2876;43955;13246;;;;0;;;;;;;;;;;;;;
6;14.5;3254;2573;49725;14262;4654328;;13346489;4125;;;;;;;;;;;;;;
6;15;7793;3148;49105;15124;3527972;844;9070763;1237;63.6;;;0.055;14.81;34.45;2.64;5.70;293.80;0.92;288.10;0.92;8.22;
6;15.5;9347;2990;50259;20120;4564728;;14197287;1939;;;;;;;;;;;;;;
6;16;18531;3203;31518;14149;3915858;12200;13309061;814;70.52;23400;;0.044;18.85;30.13;0.79;87.09;368.91;17.33;281.82;17.33;8.93;
6;16.5;17020;3614;15949;4582;2485400;;7602879;503;;;;;;;;;;;;;;
6;17;49767;6104;13796;11214;3209449;99800;11909174;314;;;;0.045;19.93;27.61;0.19;;371.93;6.65;371.93;6.65;9.85;
6;17.5;50892;10174;10198;11915;3251723;;12721654;400;;;;;;;;;;;;;;
6;18;29338;11406;8108;9362;3385313;1340000;10245239;703;112.99;42285.71;;0.066;23.2;27.47;0.90;33.17;338.53;3.42;305.35;3.42;13.21;
6;18.5;13168;5932;5636;10923;4061326;;12330186;2128;;;;;;;;;;;;;;
6;19;16476;10795;5938;10233;4259910;1900000;12838200;1158;435.8;;;0.044;19.56;24.40;0.57;52.00;458.28;3.11;406.28;3.11;9.05;
6;19.5;8325;6294;4613;10745;3422819;924000;7354586;2303;;;;0.041;;33.38;1.83;53.14;412.51;4.56;359.36;4.56;8.81;
6;20;18272;9329;5415;10661;3563911;1110000;5471203;1183;400.76;70600;;0.06;14.58;25.99;0.99;48.48;371.22;20.26;322.74;20.26;9.12;
6;20.5;24762;10896;5774;10736;4012294;;6833058;631;;;;;;;;;;;;;;
6;21;11977;8690;5802;11239;4993910;2310000;8112058;1673;472.75;;;0.035;11.51;14.99;0.66;61.51;289.99;3.78;228.48;3.78;9.14;
6;21.25;5472;5109;5122;10577;;;;0;;;;;;;;;;;;;;
6;21.5;4619;5454;5593;10495;5742909;;6498342;4052;;;;;;;;;;;;;;
6;22;9714;6370;6695;11868;5208899;1240000;6112317;1509;276.84;;;0.039;11.61;8.81;1.28;24.25;302.08;1.90;277.83;1.90;8.58;
6;22.5;9397;6437;5697;13942;5070651;2200000;5387060;1237;;;;0.034;10.77;9.02;0.94;25.75;292.98;6.00;267.23;6.00;12.46;
6;23;10729;6530;6053;13485;5741938;2720000;4678014;1160;132.2;60750;;0.066;9.76;8.14;0.65;14.26;317.03;1.39;302.77;1.39;7.86;
6;23.5;4528;5055;4097;15567;4369599;309000;245944;0;;;;0.051;9.48;8.04;0.75;59.78;311.46;15.50;251.68;15.50;8.06;
6;24;3172;5692;4425;13763;4224707;;4249705;4024;;;;;;;;;;;;;;
7;0;170;1326;18358;2046;;66;;0;;;;0.041;1.84;3.87;0.11;3.71;51.38;1.31;47.67;1.31;1.66;
7;1;108;1292;16159;2876;;26;;0;;;;1.385;1.9;4.25;0.14;5.90;56.28;1.07;50.37;1.07;2.10;
7;1.5;50;1297;16734;2764;;;;0;;;;;;;;;;;;;;
7;2;93;2395;23207;3229;;240;;0;;0;;2.599;2.71;6.80;0.07;5.38;63.29;0.34;57.91;0.34;1.92;
7;2.5;143;2345;30441;7611;;;;0;;;;;;;;;;;;;;
7;3;371;3680;48658;6805;;;;0;;;;3.487;3.38;8.73;0.21;7.29;79.41;0.89;72.12;0.89;2.51;
7;3.5;184;3736;68660;5347;;;;0;;;;;;;;;;;;;;
7;4;180;5495;86396;5952;;664;;0;;;;4.173;4.46;11.43;0.18;2.75;102.47;3.36;99.72;3.36;2.81;
7;4.5;127;7298;113385;5326;;;;0;;;;;;;;;;;;;;
7;5;163;7779;127433;5613;;;;0;;;;4.35;6.26;10.92;0.06;9.03;157.31;3.15;148.29;3.15;3.16;
7;6;429;12043;159247;5784;1404358;9;1705648;3279;28.26;;;2.958;9.18;12.45;0.34;16.67;192.77;6.78;176.09;6.78;4.60;
7;6.5;393;11518;164286;5381;1258891;;2486738;3642;;;;;;;;;;;;;;
7;7;546;12336;142077;4258;1393836;170;3250114;3188;55.47;;;1.71;10.81;18.26;0.14;18.87;221.12;0.13;202.25;0.13;5.43;
7;7.5;683;5851;115893;6671;1457015;;3193222;2156;;;;;;;;;;;;;;
7;8;737;10461;97267;4427;2277776;40;5968895;3657;50.2;3091.67;;0.912;10.57;29.39;0.53;47.35;242.64;0.97;195.28;0.97;6.73;
7;8.5;757;6882;65852;5765;2045798;;604625;4564;;;;;;;;;;;;;;
7;9;1989;16568;74541;6178;2960011;186;6871687;1418;81.62;;;0.012;9.96;29.35;0.24;27.99;439.28;11.39;411.29;11.39;5.84;
7;9.5;1298;7749;60888;9252;;;;0;;;;;;;;;;;;;;
7;10;5150;10704;65066;9076;3866987;775;7755118;987;47;;;0.037;8.21;44.10;0.19;19.31;388.93;9.01;369.62;9.01;6.84;
7;10.5;4632;6397;45564;11578;7427414;;14284743;2877;;;;;;;;;;;;;;
7;11;7016;5689;48929;11731;6871721;2870;15416854;2150;64.8;;;0.021;6.09;53.45;4.08;28.95;249.95;9.06;221.00;9.06;;
7;11.25;4982;6163;44260;15086;7577969;;13928876;3359;;;;;;;;;;;;;;
7;11.5;9471;4690;43857;15427;6564044;;11573794;1681;;;;;;;;;;;;;;
7;12;5880;3868;39204;12411;6280160;8390;10676273;2021;52.44;;;0.044;5.59;68.67;0.62;;222.56;1.07;222.56;1.07;5.92;
7;12.5;5624;3711;33022;12969;6942149;;16509958;3534;;;;;;;;;;;;;;
7;13;7929;4770;38753;12872;2036511;41900;5014199;846;107.75;;;0.033;6.5;61.39;0.13;;78.02;10.78;78.02;10.78;8.14;
7;13.5;2586;4997;47610;13418;5430048;;13139376;6553;;;;;;;;;;;;;;
7;14;5667;5566;50047;11965;4187027;113000;12100702;2711;75.82;13180;;0.834;7.83;56.29;1.10;11.71;31.94;3.37;20.23;3.37;6.37;
7;14.25;2458;4828;42969;12824;;;;0;;;;;;;;;;;;;;
7;14.5;3662;3766;32275;11349;4234625;;14337578;4198;;;;;;;;;;;;;;
7;15;8365;5698;39417;15644;3929758;1740000;15889891;2138;42.3;;;0.193;10.84;47.94;1.21;;283.17;4.60;283.17;4.60;7.82;
7;15.5;12123;8490;47768;25765;4259127;;14896776;1744;;;;;;;;;;;;;;
7;16;11755;10469;50217;26227;3292086;9270000;13209138;1694;52.42;70800;26.4;0.203;11.45;43.91;0.32;97.22;302.33;14.60;205.11;14.60;7.52;
7;16.5;3581;10111;46583;24774;4040156;;11317353;7772;;;;;;;;;;;;;;
7;17;14914;17854;69108;50270;5486972;8510000;14928152;2428;43.07;;31.3;0.902;9.49;22.42;0.48;;297.83;12.97;297.83;12.97;7.39;
7;17.5;9148;18549;84482;91166;6233660;;17845381;4276;;;;;;;;;;;;;;
7;18;5876;19080;85927;70258;5105865;10500000;12395319;5617;41.31;237200;26.9;1.615;9.56;6.62;0.64;14.29;164.06;7.81;149.77;7.81;8.88;
7;18.5;3047;19680;117356;170194;6604315;;16166391;16079;;;;;;;;;;;;;;
7;19;1817;17059;93431;120477;5165214;15400000;17149807;21519;61.22;;27.4;0.743;9.7;5.34;0.94;20.05;298.82;1.29;278.78;1.29;8.18;
7;19.5;1091;11730;81870;192870;4761776;8230000;8989067;26029;;;;0.204;;7.13;1.32;;297.01;3.87;297.01;3.87;9.00;
7;20;2639;16714;76949;163316;3144166;10500000;7010035;13585;62.82;68250;14.2;0.133;8.62;7.07;1.03;44.62;295.41;4.64;250.79;4.64;6.61;
7;20.5;3173;14424;50608;180523;3564397;;11318380;9473;;;;;;;;;;;;;;
7;21;2511;15218;53033;193097;4363044;9940000;13846154;16766;61.32;;3.01;0.078;7.84;5.44;0.72;13.63;210.81;11.67;197.18;11.67;7.88;
7;21.25;1466;12357;39828;189799;;;;0;;;;;;;;;;;;;;
7;21.5;1074;11247;36384;191336;3586449;;6256001;19160;;;;;;;;;;;;;;
7;22;2161;11714;34101;210146;5042972;6820000;9355079;13904;63.09;;5.56;0.038;8.52;5.18;0.17;49.89;195.29;10.54;145.40;10.54;7.71;
7;22.5;2622;12759;30353;318248;4392167;6540000;7910755;7126;;;;0.038;8.38;5.83;0.03;23.54;181.28;1.10;157.74;1.10;9.03;
7;23;3291;13115;31123;358637;4894085;7090000;6594223;5818;31.92;;0;0.058;8.05;7.48;0.15;54.49;162.47;2.03;107.98;2.03;7.86;
7;23.5;2784;14546;40110;538005;4665472;1810000;3480848;4447;;;;0.051;7.33;6.46;0.03;38.61;386.39;65.39;347.78;65.39;8.84;
7;24;1607;13809;34053;531800;3108117;;3749740;8628;;;;;;;;;;;;;;
8;0;155;1831;20721;2950;;97;;0;;;;0.046;1.08;0.55;0.51;10.31;47.19;1.47;36.88;1.47;1.63;
8;1;104;1383;16003;2129;;;;0;;;;0.078;1.4;3.66;0.02;7.52;61.20;0.50;53.68;0.50;1.28;
8;1.5;105;724;15817;2063;;;;0;;;;;;;;;;;;;;
8;2;110;1399;19757;2408;;74;;0;;;;0.059;1.4;4.77;0.08;6.70;63.60;1.34;56.91;1.34;1.39;
8;2.5;143;1159;22439;8232;;;;0;;;;;;;;;;;;;;
8;3;161;1502;24757;5683;;;;0;;;;0.14;1.68;7.12;0.23;5.10;59.65;2.40;54.55;2.40;2.51;
8;3.5;220;1809;29081;3636;;;;0;;;;;;;;;;;;;;
8;4;153;1646;28380;3340;;;;0;;;;0.148;5.56;7.04;0.10;5.27;98.09;1.94;92.81;1.94;2.25;
8;4.5;175;1666;28062;2146;;;;0;;;;;;;;;;;;;;
8;5;126;1033;28664;3090;;;;0;;;;0.054;4.75;7.31;0.09;6.69;91.17;0.87;84.48;0.87;2.39;
8;6;110;1086;24024;2849;1114141;;548926;9649;32.18;;;0.019;4.98;11.40;0.22;2.46;84.82;2.79;82.35;2.79;2.69;
8;6.5;100;1159;24916;2535;995768;;382610;7355;;;;;;;;;;;;;;
8;7;40;961;21858;2315;1050785;313;539370;25879;43.01;;;0.069;4.59;10.72;0.01;13.99;68.57;2.90;54.58;2.90;2.15;
8;7.5;96;1128;19036;2901;882030;;520716;10852;;;;;;;;;;;;;;
8;8;97;1591;17329;1878;1148390;;689854;13848;32.92;;;0.08;5.62;11.05;0.47;16.82;107.99;5.32;91.17;5.32;1.27;
8;8.5;140;1033;11948;2260;1172572;;609837;7619;;;;;;;;;;;;;;
8;9;186;1074;10016;2943;670140;;439169;4363;18.93;;;0.026;3.03;10.44;0.61;14.55;172.77;2.83;158.22;2.83;2.32;
8;9.5;53;711;7690;3149;;;;0;;;;;;;;;;;;;;
8;10;220;1652;9385;4315;683403;73;462637;3917;14.18;;;0.062;1.68;11.53;0.81;11.09;97.46;1.98;86.37;1.98;2.09;
8;10.5;183;2142;7742;3894;1827805;;1652943;15639;;;;;;;;;;;;;;
8;11;88;1866;6673;5806;1002871;;863583;26874;21.53;;;0.039;1.59;5.03;0.29;17.18;108.30;46.50;91.11;46.50;2.21;
8;11.25;164;1678;5081;4895;2207259;;1539241;27818;;;;;;;;;;;;;;
8;11.5;;;;100;1709887;;1361426;0;;;;;;;;;;;;;;
8;12;150;1093;4809;6857;1314294;;865105;20965;18.07;;;0.056;1.4;11.15;0.34;16.66;139.75;6.02;123.08;6.02;1.50;
8;12.5;189;1024;4228;6638;1056374;;1178263;17969;;;;;;;;;;;;;;
8;13;162;1323;3713;4515;267459;;340403;8233;;;;0.091;3.91;9.26;0.18;15.34;49.48;10.22;34.13;10.22;1.85;
8;13.5;133;1211;3806;3265;754664;;769462;14159;;;;;;;;;;;;;;
8;14;160;1328;3681;3821;862772;91;776013;13599;45.31;74.67;;0.061;2.15;15.30;0.91;6.76;7.51;0.10;0.75;0.10;1.38;
8;14.25;27;601;3351;4531;;;;0;;;;;;;;;;;;;;
8;14.5;100;1022;3432;3599;962945;;699956;15229;;;;;;;;;;;;;;
8;15;67;865;2069;4691;803480;4230;587316;19126;31.91;;;0.08;1.21;13.53;1.64;21.56;33.07;2.09;11.51;2.09;2.26;
8;15.5;134;958;2547;5147;841834;;666960;10559;;;;;;;;;;;;;;
8;16;53;1378;1808;5884;635292;31700;532160;26898;94.97;966.67;;0.084;1.94;16.39;1.01;66.39;22.00;0.68;38.00;0.68;1.61;
8;16.5;10;342;859;1556;479707;;365878;102136;;;;;;;;;;;;;;
8;17;235;1196;979;8613;457438;64200;441101;4736;10.95;;;0.135;0.96;12.64;0.84;24.40;32.42;0.61;8.02;0.61;1.43;
8;17.5;311;1613;1305;11334;570110;;488666;5704;;;;;;;;;;;;;;
8;18;124;1487;1598;10636;612120;59500;489696;12182;19.77;1460;;0.175;1.82;21.83;1.62;101.83;22.70;2.01;44.00;2.01;1.40;
8;18.5;53;774;1536;21143;759313;;416397;24103;;;;;;;;;;;;;;
8;19;27;783;1004;13848;643847;51200;366748;45979;4.56;;;0.122;2.17;10.82;0.02;19.51;53.39;3.29;33.88;3.29;1.75;
8;19.5;17;606;1131;16441;626398;37200;223714;56476;;;;0.102;;8.76;1.57;;52.11;1.89;52.11;1.89;1.93;
8;20;86;1217;1313;14580;725624;55300;472755;19522;12.21;1646.67;;0.098;5.15;9.12;0.97;27.87;44.37;1.83;16.50;1.83;1.82;
8;20.5;170;1428;1661;11804;898907;;380618;8567;;;;;;;;;;;;;;
8;21;63;1371;1760;9572;1021794;18300;356817;21983;10.64;;;0.107;9.06;4.69;0.23;32.07;43.95;0.90;11.88;0.90;2.87;
8;21.25;30;1266;2126;10855;;;;0;;;;;;;;;;;;;;
8;21.5;10;1020;1669;8831;1299888;;479334;179244;;;;;;;;;;;;;;
8;22;80;1059;2145;10820;1848785;39800;399077;12977;8.4;;;0.19;6.19;5.45;0.17;33.39;43.86;0.14;10.48;0.14;1.88;
8;22.5;90;1116;2807;13804;1648340;49300;341036;10440;;;;0.065;5.68;5.52;0.51;89.35;36.88;2.01;42.00;2.01;1.96;
8;23;126;1267;3068;11097;1255861;18000;220183;4594;4.45;500;;0.089;5.25;6.03;0.13;73.32;32.62;0.76;38.00;0.76;2.07;
8;23.5;96;1214;3411;13876;2177113;31400;435423;14002;;;;0.095;4.52;5.80;0.09;63.82;65.42;4.90;1.60;4.90;2.07;
8;24;87;1344;5340;15001;2145709;;507763;18083;;;;;;;;;;;;;;
